time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[A_AOD] Absolute Average Odds Difference,race|[A_EOD] Absolute Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[A_AOD] Absolute Average Odds Difference,VAR|race|[A_EOD] Absolute Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,id
2024-02-03 05:35:07.163969,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['race'],{},0.6773296244784422,0.6587982832618026,0.8078947368421052,-0.1949245024478768,-0.129194076477126,0.1949245024478768,0.129194076477126,-0.2092118997912316,0.36177797833935,0.0465238190114921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526666
2024-02-03 05:35:07.136433,1,Compas Dataset,FYP VAE,LogisticRegression,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=8, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [8]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6842837273991655,0.6666666666666666,0.8052631578947368,-0.1399638500250262,-0.1333093028145745,0.1399638500250262,0.1333093028145745,-0.1612821851078636,0.2759077380952381,0.0358653747574768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526666
2024-02-03 05:33:22.797619,1,Compas Dataset,FYP VAE,LogisticRegression,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=8, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6731571627260083,0.6565874730021598,0.8,-0.0324566519044762,-0.027394791385059,0.0324566519044762,0.027394791385059,-0.0528618649965205,0.0844027777777778,0.0117552387897733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526666
2024-02-03 05:31:15.163926,1,Compas Dataset,FYP VAE,LogisticRegression,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=8, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 7}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6828929068150209,0.665938864628821,0.8026315789473685,-0.0082458381433543,-0.0232795650476104,0.0082458381433543,0.0232795650476104,-0.0320285316631872,0.0511388888888888,0.0071223941457866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526666
2024-02-03 05:29:55.129464,1,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['race'],{},0.6536856745479833,0.6659340659340659,0.7575,-0.0550796510477651,-0.0322140966160782,0.0550796510477651,0.0322140966160782,-0.0748732460794717,0.1235408560311284,0.0171966550668232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526665
2024-02-03 05:29:44.369440,1,Compas Dataset,No Bias Mitigation,MLPClassifier,,['race'],{},0.6397774687065368,0.656319290465632,0.74,-0.1491508795439032,-0.1029592933343818,0.1491508795439032,0.1029592933343818,-0.1622534404635571,0.285023153970203,0.0372658672511079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526665
2024-02-03 05:29:44.317668,1,Compas Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=8, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Flipped ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Flipped ADV loss: {'weight': 0.01, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (50, 30, 10), 'input_dim': 10, 'sens_col_ids': [8]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6522948539638387,0.6666666666666666,0.75,-0.0358062716178646,-0.0864983879845876,0.0358062716178646,0.0864983879845876,-0.0675290986575032,0.1122246171934047,0.0155098740523946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526665
2024-02-03 05:29:44.215424,1,Compas Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=8, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Sensitive KL loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [8]}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6203059805285118,0.6377440347071583,0.735,0.0955073656483268,0.0985033157715394,0.0955073656483268,0.0985033157715394,0.0773914801152154,0.1157115333761473,0.01777503525411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526665
2024-02-03 05:29:44.117917,1,Compas Dataset,FYP VAE,MLPClassifier,,['race'],"{'c': 'FYP', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=8, mask_values=None vae_layers=(50, 45, 35, 30), lr=0.01, \nlosses_used=['Latent sens ADV loss', 'Pos Y vec loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.1, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 7}, Pos Y vec loss: {'weight': 1200000}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.6342141863699583,0.6650602409638554,0.69,0.0131911549743036,0.0034599355193835,0.0131911549743036,0.0034599355193835,-0.0100645139555646,0.0175464356508334,0.0023115863672501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526665
2024-02-03 05:29:36.747141,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['race'],{},0.6801112656467315,0.6872246696035242,0.78,-0.0063696691194292,-0.0056617126680821,0.0063696691194292,0.0056617126680821,-0.0346488790068556,0.0559712660879976,0.0079580471254117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7414435816803526665
