time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness,id,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
10:09.6,1,German Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.74,0.777777778,0.921052632,-0.158441558,-0.088311688,-0.135577373,0.168115942,0.029,0.155392145,0,0,0,0,0,0,0,0,0,3.7,,,,,,,,
10:09.5,1,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.78,0.793478261,0.960526316,0.087229437,-0.011255411,0.022440393,0.023988006,0.0048,0.024280404,0,0,0,0,0,0,0,0,0,3.8,,,,,,,,
08:16.6,1,German Dataset,FFVAE,LogisticRegression,,['sex'],{'c': 'LFR'},0.73,0.769230769,0.921052632,0.043073593,0.043290043,0.036933146,0.03948026,0.0079,0.040280745,0,0,0,0,0,0,0,0,0,3.9,,,,,,,,
08:13.2,1,German Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.63,0.742857143,0.732394366,-0.388410931,-0.20951417,-0.340073529,0.725490196,0.074,0.545511182,0,0,0,0,0,0,0,0,0,4,,,,,,,,
08:11.2,1,German Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.66,0.76056338,0.76056338,-0.446103239,-0.247975709,-0.400735294,0.915966387,0.0872,0.650222136,0,0,0,0,0,0,0,0,0,4.1,,,,,,,,
08:11.1,1,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.69,0.756410256,0.830985915,0.146887652,0.087044534,0.09375,0.111111111,0.0204,0.117783036,0,0,0,0,0,0,0,0,0,4.2,,,,,,,,
06:14.9,1,German Dataset,FFVAE,MLPClassifier,,['sex'],{'c': 'LFR'},0.73,0.755813953,0.915492958,-0.112727733,-0.028340081,-0.115808824,0.148235294,0.0252,0.138226237,0,0,0,0,0,0,0,0,0,4.3,,,,,,,,
06:10.6,1,German Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.77,0.772727273,0.957746479,-0.110323887,-0.086032389,-0.145220588,0.185882353,0.0316,0.170487099,0,0,0,0,0,0,0,0,0,4.4,,,,,,,,
06:10.5,1,German Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.64,0.777777778,0.690140845,-0.092990891,-0.008097166,-0.099264706,0.176470588,0.0216,0.162518929,0,0,0,0,0,0,0,0,0,4.5,,,,,,,,
06:10.5,1,German Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.77,0.772727273,0.957746479,-0.110323887,-0.086032389,-0.145220588,0.185882353,0.0316,0.170487099,0,0,0,0,0,0,0,0,0,4.6,,,,,,,,
