time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,race|[AOD] Average Odds Difference,race|[EOD] Equal Opportunity Difference,race|[SPD] Statistical Parity Difference,race|[DI] Disparate Impact,race|[DI_FM] Disparate Impact the way it was implemented in FairMask,race|[FR] Flip Rate,race|[SF] Statistical Parity Subgroup Fairness for One Attribute,race|[DF] Differential Fairness for One Attribute,accuracy,precision,recall,f1score,[SF] Statistical Parity Subgroup Fairness,[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,[DF] Differential Fairness,[DF] Differential Fairness if 0 was the positive label,[MEOD] M Equal Opportunity Difference,[MAOD] M Average Odds Difference,VAR|race|[AOD] Average Odds Difference,VAR|race|[EOD] Equal Opportunity Difference,VAR|race|[SPD] Statistical Parity Difference,VAR|race|[DI] Disparate Impact,VAR|race|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|race|[FR] Flip Rate,VAR|race|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|race|[DF] Differential Fairness for One Attribute,VAR|accuracy,VAR|precision,VAR|recall,VAR|f1score,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[SF] Statistical Parity Subgroup Fairness if 0 was the positive label,VAR|[DF] Differential Fairness,VAR|[DF] Differential Fairness if 0 was the positive label,VAR|[MEOD] M Equal Opportunity Difference,VAR|[MAOD] M Average Odds Difference,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI] Disparate Impact,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,sex|[FR] Flip Rate,sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,sex|[DF] Differential Fairness for One Attribute,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI] Disparate Impact,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|sex|[FR] Flip Rate,VAR|sex|[SF] Statistical Parity Subgroup Fairness for One Attribute,VAR|sex|[DF] Differential Fairness for One Attribute
2023-12-04 22:48:52.704443,1,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},,,,,,,,,0.6870653685674548,0.6614699331848553,0.8027027027027027,0.7252747252747253,0.0086254088799735,0.0086254088799735,0.0828876598057676,0.1476359988060646,0.0053997421018696,0.0159961889936584,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0159961889936584,0.0053997421018696,0.0530303030303029,1.0864197530864197,0.0795454545454544,0.0,0.0086254088799735,0.0828876598057676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 22:48:52.689503,1,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},,,,,,,,,0.6898470097357441,0.6594360086767896,0.8216216216216217,0.7316486161251504,0.0219030062229065,0.0219030062229065,0.198400546927612,0.4285383842724668,0.0849451966473242,0.0981417976223179,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981417976223179,0.0849451966473242,0.1346629560915275,1.219450743260267,0.1799586776859504,0.1084840055632823,0.0219030062229065,0.198400546927612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 22:48:52.674835,1,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],{'my model config': <src.ml_models.FYP_VAE.configs.VAEMaskConfig object at 0x00000283C46FC760>},,,,,,,,,0.6703755215577191,0.647450110864745,0.7891891891891892,0.7113276492082827,0.0058515052392733,0.0058515052392733,0.0583596151855827,0.0939095965419701,0.081237911025145,0.0699877456937531,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.069987745693753,0.081237911025145,0.0359759288330716,0.943310657596372,0.0600961538461537,0.086230876216968,0.0058515052392733,0.0583596151855827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 22:48:52.660340,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},,,,,,,,,0.6536856745479833,0.6295503211991434,0.7945945945945946,0.7025089605734767,0.0257601637260838,0.0257601637260837,0.2284367960622604,0.533857763748959,0.0905867182462927,0.1345686367385759,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1345686367385759,0.0905867182462927,0.1583773369487655,1.2566340983985662,0.2042234081707766,0.1001390820584144,0.0257601637260838,0.2284367960622604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 22:48:52.645565,1,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},,,,,,,,,0.655076495132128,0.6331877729257642,0.7837837837837838,0.7004830917874396,0.0106236253798642,0.0106236253798642,0.1058401534185772,0.1712629022263363,0.1188749194068342,0.0941247770616872,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941247770616871,0.1188749194068342,0.0653156367442081,0.8995684295223466,0.1116441697837047,0.082058414464534,0.0106236253798642,0.1058401534185772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 22:48:52.631948,1,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},,,,,,,,,0.6564673157162726,0.660574412532637,0.6837837837837838,0.6719787516600265,0.0129410148928062,0.0129410148928062,0.1565800767099324,0.162455646369036,0.1665860735009672,0.1034566837405479,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1034566837405479,0.1665860735009672,0.0795632938490081,0.8550630443260107,0.1695044086348434,0.0764951321279554,0.0129410148928062,0.1565800767099324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 22:48:52.618611,1,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},,,,,,,,,0.6536856745479833,0.6347438752783965,0.7702702702702703,0.6959706959706959,0.0058437677116842,0.0058437677116842,0.0565865391356011,0.0985396924911134,0.0116860090264345,0.0071610866615342,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071610866615343,0.0116860090264345,0.0359283573569287,1.0582181881251085,0.0550152972027971,0.0,0.0058437677116842,0.0565865391356011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 22:48:52.603938,1,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},,,,,,,,,0.6536856745479833,0.6295503211991434,0.7945945945945946,0.7025089605734767,0.0257601637260838,0.0257601637260837,0.2284367960622604,0.533857763748959,0.0905867182462927,0.1345686367385759,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1345686367385759,0.0905867182462927,0.1583773369487655,1.2566340983985662,0.2042234081707766,0.1001390820584144,0.0257601637260838,0.2284367960622604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 22:48:52.584593,1,Compas Dataset,FYP VAE,LogisticRegression,,['sex'],{'my model config': <src.ml_models.FYP_VAE.configs.VAEMaskConfig object at 0x00000283C46FC760>},,,,,,,,,0.6689847009735744,0.6527777777777778,0.7621621621621621,0.7032418952618453,0.0032304177684583,0.0032304177684583,0.033385074203155,0.0490452695020869,0.090506125080593,0.0489058971399458,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0489058971399458,0.090506125080593,0.0198610912896627,0.9671660571743148,0.033948609530005,0.0737134909596662,0.0032304177684583,0.033385074203155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-04 22:44:27.188208,1,Adult Dataset,No Bias Mitigation,RandomForestClassifier,,['race'],{},0.0369334399493763,0.0377022119511389,0.0927152840218951,0.5805381101912647,0.7225397996189071,0.080135093644458,0.0110812082410252,0.5437998293681524,0.8477126189745164,0.6976401179941003,0.6191099476439791,0.6560332871012483,0.0110812082410252,0.0110812082410253,0.5437998293681524,0.1124564398928089,0.0377022119511389,0.0369334399493763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
