time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness,id,,,,,,,,
08:11.1,1,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.69,0.756410256,0.830985915,0.146887652,0.087044534,0.09375,0.111111111,0.0204,0.117783036,0,0,0,0,0,0,0,0,0,4.20,,,,,,,,
06:14.9,1,German Dataset,FFVAE,MLPClassifier,,['sex'],{'c': 'LFR'},0.73,0.755813953,0.915492958,-0.112727733,-0.028340081,-0.115808824,0.148235294,0.0252,0.138226237,0,0,0,0,0,0,0,0,0,4.30,,,,,,,,
06:10.6,1,German Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.77,0.772727273,0.957746479,-0.110323887,-0.086032389,-0.145220588,0.185882353,0.0316,0.170487099,0,0,0,0,0,0,0,0,0,4.40,,,,,,,,
06:10.5,1,German Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.64,0.777777778,0.690140845,-0.092990891,-0.008097166,-0.099264706,0.176470588,0.0216,0.162518929,0,0,0,0,0,0,0,0,0,4.50,,,,,,,,
06:10.5,1,German Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.77,0.772727273,0.957746479,-0.110323887,-0.086032389,-0.145220588,0.185882353,0.0316,0.170487099,0,0,0,0,0,0,0,0,0,4.60,,,,,,,,
06:10.3,1,German Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.77,0.779069767,0.943661972,-0.175101215,-0.138663968,-0.207720588,0.289002558,0.0452,0.253868708,0,0,0,0,0,0,0,0,0,4.70,,,,,,,,
06:10.2,1,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.69,0.717391304,0.929577465,-0.033527328,0.024291498,-0.020220588,0.022312373,0.0044,0.022067094,0,0,0,0,0,0,0,0,0,4.80,,,,,,,,
04:17.9,1,German Dataset,FFVAE,LogisticRegression,,['sex'],{'c': 'LFR'},0.75,0.76744186,0.929577465,-0.091093117,-0.04757085,-0.115808824,0.148235294,0.0252,0.138226237,0,0,0,0,0,0,0,0,0,4.90,,,,,,,,
04:14.3,3,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.674547983,0.695374195,0.739296597,0.047797178,0.048093339,0.097598668,0.143843993,0.014805759,0.158442843,0.000352058,0.001431452,0.000460239,0.004421404,0.001014896,0.002198182,0.004551757,4.98E-05,0.006315804,5.00,,,,,,,,
04:14.3,3,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.679647659,0.695049005,0.755067159,0.121003976,0.129382446,0.173700022,0.232878927,0.026715748,0.268422026,0.000327985,0.001172658,0.000653288,0.0053963,0.000349475,0.002322645,0.003754591,5.73E-05,0.006744644,5.10,,,,,,,,
04:14.2,3,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.656930923,0.683348846,0.727559442,-0.040638373,-0.046091065,0.00384869,0.070870321,0.006322205,0.071870874,9.33E-05,0.001715467,0.00567191,0.00419699,0.001575239,0.002344483,0.001706507,1.27E-05,0.001851795,5.20,,,,,,,,
04:14.2,3,Compas Dataset,FFVAE,MLPClassifier,,"['sex', 'race']",{'c': 'LFR'},0.674084376,0.689792453,0.751929526,-0.015791188,-0.01120216,0.036052344,0.108207552,0.050871665,0.399785287,0.00018871,0.000972049,0.000502091,0.010493248,0.005263156,0.006815283,0.004752493,4.03E-05,0.000129012,5.30,-0.181576285,-0.153662306,-0.210539684,0.398411939,0.000487324,9.55E-05,0.000345858,0.003536903
04:14.2,3,Compas Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.682892907,0.693484831,0.769595389,-0.03299494,-0.025388697,0.022622723,0.084649168,0.008413272,0.088040208,0.000117353,0.000797931,0.000329975,0.007594866,0.002740868,0.004108055,0.003064753,3.59E-05,0.00372061,5.40,,,,,,,,
04:14.1,3,Compas Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.668521094,0.709412168,0.682692395,-0.057513588,-0.056946169,-0.005607256,0.101481013,0.008254652,0.101617491,3.01E-06,0.000483941,0.000492775,0.006002048,0.002710259,0.00325987,0.000883107,6.94E-06,0.001036798,5.50,,,,,,,,
04:14.0,3,Compas Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.681502086,0.697197909,0.755604332,0.04719838,0.044297021,0.09848143,0.143688632,0.015214558,0.157477273,8.64E-05,0.000802679,0.000729073,0.003871114,0.001800412,0.001795678,0.003400266,4.37E-05,0.004749712,5.60,,,,,,,,
04:14.0,3,Compas Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.683820121,0.691092736,0.779742669,0.192284287,0.153564897,0.230279372,0.283031039,0.035535885,0.335088555,0.000104886,0.00073123,0.000561461,0.003072321,0.002678499,0.00189119,0.002461201,5.70E-05,0.004703413,5.70,,,,,,,,
04:13.9,3,Compas Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.671766342,0.68527043,0.755141155,-0.043654482,-0.037473646,0.008697987,0.097612235,0.009039367,0.098444716,0.000144434,0.000591172,0.000348053,0.008125035,0.005007346,0.004920429,0.003465715,3.06E-05,0.003617338,5.80,,,,,,,,
04:13.9,3,Compas Dataset,FFVAE,LogisticRegression,,"['sex', 'race']",{'c': 'LFR'},0.683356514,0.693587221,0.771071783,-0.04525357,-0.04203249,0.008826036,0.075608236,0.042334593,0.380739903,0.000284139,0.001102755,0.00013975,0.005727851,0.002597167,0.003206634,0.002209014,0.000123013,0.001244834,5.90,-0.152394333,-0.136323319,-0.186198198,0.33745023,0.000270582,0.001672536,0.00034261,0.001641168
04:13.8,1,Compas Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.648122392,0.642222222,0.758530184,0.028936474,0.074595355,0.097580235,0.138147299,0.014103578,0.148670903,0,0,0,0,0,0,0,0,0,6.00,,,,,,,,
04:07.5,1,Compas Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.655076495,0.646799117,0.769028871,0.05359722,0.120572367,0.131012607,0.177500952,0.018935664,0.195407954,0,0,0,0,0,0,0,0,0,6.10,,,,,,,,
04:07.4,1,Compas Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=10, mask_values=None vae_layers=(75, 60, 30, 15), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 9}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [7]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.645340751,0.625498008,0.824146982,-0.117910629,-0.099812339,-0.057469418,0.088306667,0.008306236,0.084622972,0,0,0,0,0,0,0,0,0,6.20,,,,,,,,
